Symbol,Name,Exchange
APA,Apache Corp,S&P500
BKR,Baker Hughes,S&P500
COG,Cabot Oil & Gas Corp,S&P500
COP,Conocophillips,S&P500
CVX,Chevron Corp,S&P500
CXO,Concho Resources Inc,S&P500
DVN,Devon Energy,S&P500
EOG,EOG Resources,S&P500
FANG,Diamondback Energy,S&P500
FTI,Technipfmc Plc,S&P500
HAL,Halliburton Company,S&P500
HES,Hess Corp,S&P500
HFC,Hollyfrontier Corp,S&P500
KMI,Kinder Morgan,S&P500
MPC,Marathon Petroleum Corp,S&P500
MRO,Marathon Oil Corp,S&P500
NBL,Noble Energy Inc,S&P500
NOV,National-Oilwell,S&P500
OKE,Oneok Inc,S&P500
OXY,Occidental Petroleum ,S&P500
PSX,Phillips 66,S&P500
PXD,Pioneer Natural Resources Co,S&P500
SLB,Schlumberger N.V.,S&P500
VLO,Valero Energy Corp,S&P500
WMB,Williams Companies,S&P500
XOM,Exxon Mobil Corp,S&P500
BEP,Brookfield Renewable Partners,NYSE
AVR,Aventine Renewable Energy,NYSE
AZRE,Azure Power,NYSE
BLDP,Ballard Power Systems,NASDAQ
CSIQ,"Canadian Solar, Inc",NASDAQ
CSUN,China Sunergy Co,NASDAQ
ENPH,Enphase Energy,NASDAQ
EVA,Enviva,NYSE
FSLR,First Solar Holding,NASDAQ
GPRE,Green Plains Renewable Energy,NASDAQ
JASO,JA Solar Holdings Co,NASDAQ
OPTT,Ocean Power Tech,NASDAQ
ORA,Ormat Tech,NYSE
REGI,Renewable Energy Group,NASDAQ
SEDG,SolarEdge Tech,NASDAQ
SPWR,SunPower Corp,NASDAQ
RUN,Sunrun,NASDAQ
STP,Suntech Power,NYSE
TERP,Terraform Power,NASDAQ
TSL,Trina Solar,NASDAQ
VRNM,Verenium Corp,NASDAQ
VSLR,Vivint Solar,NASDAQ
YGE,Yingli Green Energy,NYSE
